,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25
"1-1",0,0.016087242836625888,0.018804434833450602,0,0.14684937573439294,0.11865481190248699,0.13869602770064551,0.097442160386557161,0.16251722588106599,-0.15255789287863236,-0.090487620669789409,-0.16837218977703036,-0.068568237472987653,1.3766765505351941e-17,0.0092625075037292837,0,0.062616472656292221,3.1530333899354443e-17,0.068317554273390355,0,0.077896146756143023,0,0,-0.00020232493611500399,0
"2-1",1,0.045407620010646396,0.07096187145073489,0,0.12840894815745713,0.14906159478709852,0.19217568760435669,0.11420273588704785,0.22732888004929583,-0.16691195986942461,-0.086344794491888477,-0.19147129015423747,-0.056002594233397374,0.14437245312984995,0.16692425907911021,0.065368746779047304,0.26358671175712822,0.18386754633529778,0.22266438429613078,0.14405180035239046,0.25666817953548116,0,0,-0.0010905877002208005,0
"3-1",2,0.03180014884119968,0.070170381007326227,0.00075888671034332264,0.099435743633550275,0.15210515223835955,0.21006298997201309,0.10622510775970768,0.2540377991913626,-0.13946033571491456,-0.055347979612762617,-0.16939096103046047,-0.021576627538082149,0.082272821886291536,0.091452146218884312,0.024018920939786935,0.13939338181465361,0.25122409868063167,0.27652548358824741,0.19060716035664563,0.3285833680856704,0,0,-0.0019551852758203847,0
"4-1",3,0.029139801566092007,0.069748541458933472,0.00083780269776543778,0.095366283043200273,0.14529307437055466,0.20817952720763253,0.094680312164970443,0.25587607498819909,-0.10457533120715545,-0.022001094342812687,-0.13585085230404884,0,0.09932408113751473,0.10282035380983474,0.059797614688982828,0.14567014001366216,0.27241439549464325,0.28521850084453848,0.19939876823004654,0.34576787039637269,0,0,-0.0026200625075338008,0
"5-1",4,0.03209365685339343,0.070626001286226175,0.0065422638043941654,0.094171929374685326,0.13546214735253576,0.19536550480372641,0.083538265974503867,0.24399770918922459,-0.073349090097807587,0.0052042544484178299,-0.10419296914574575,0.036504618522606232,0.090062420737538049,0.098655720277655401,0.056799341310920751,0.13483678748237451,0.25635064450887529,0.26348870815925052,0.18876746796338861,0.33741234796964992,-3.6155849327397903e-05,9.169310063446013e-06,-0.0035630515757996807,0.0035630515757996807
"6-1",5,0.033800205378130402,0.068156113460356757,0.0089490819980135097,0.091336024740386212,0.12422159296772887,0.17599992630106212,0.071928905046199976,0.22496378842238252,-0.04775226939085013,0.025029606202363747,-0.078012811865943416,0.05493926651521279,0.074385022358840786,0.087081204951863639,0.046644892038833576,0.11683425889418395,0.21432331639879953,0.22986772857153637,0.15289116000411293,0.29980517709578169,-4.4716114120084974e-05,2.1896711424528759e-05,-0.0047727414937357064,0.0042366664480347925
"7-1",6,0.033739405754814329,0.062659710819200173,0.0093887536293632036,0.08553580661864077,0.11189167238840884,0.15276304523354386,0.058912882525628499,0.20243728784100612,-0.027590406543195781,0.038141103432219749,-0.057502352343001245,0.067317112064433304,0.055415411746529572,0.070700433667208448,0.03003952220396628,0.098423709587686356,0.16534261386102053,0.19054086719857058,0.10815916645142679,0.25557679337440975,-0.0001117570111182987,0.00011696712316452663,-0.0057979891953549058,0.0055231972578238756
"8-1",7,0.032384646776481674,0.055320655097750464,0.0084459178000877641,0.078031305594110312,0.098786512823828831,0.12775529006468794,0.044578763145373339,0.17859197337368693,-0.012285754735572675,0.045560046068588038,-0.042026789312471072,0.074435623505453366,0.037953550325889748,0.055070074366861857,0.015542155785967727,0.07957763770528975,0.11700986890035366,0.14877730128308875,0.063394155194690105,0.20996858669306678,-0.00012541499314712667,0.00018183708681779637,-0.0064270195571152627,0.0063423257452559093
"9-1",8,0.030020008055354225,0.046987660348171201,0.0061159561645797618,0.069872591429377157,0.08530963820532575,0.10265584719955885,0.029636425460380887,0.15474263245772363,-0.0011607424536384215,0.0483850003365313,-0.030897905324774235,0.077232268206565688,0.022627478019860845,0.040786453187024653,0.0020303550556131263,0.064130422739717363,0.073830578925506318,0.10955692297360163,0.023159051844745045,0.16843775514348766,-0.00013111468647759999,0.00022739007857117336,-0.0067031147137322318,0.0067548376018155146
"10-1",9,0.026916635933255072,0.038319986464869102,0.0028413888322294904,0.061427639398792727,0.071890825732933913,0.078772217684187698,0.015028197923287204,0.13167568676475283,0.0064731548890916866,0.047687964329232412,-0.023303260353358571,0.07655170262783241,0.010233702322399381,0.028549247537317978,-0.0089701367948049789,0.050486090893153604,0.038282292814872367,0.075678931243987474,-0.0096639129229440721,0.1321857561143685,-0.0001108060777660145,0.00022099370874787815,-0.0067001862500119143,0.0067711352189863986
