,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
"1-1",0,-0.14879310400260429,-0.12993206661643047,-0.1797831766087378,-0.10523860793058785,-0.14879310400260443,-0.12993206661643042,-0.17978317660873783,-0.10523860793058785
"2-1",1,-0.13847381735408198,-0.11675034750501459,-0.19399634209515107,-0.070484240404014908,-0.11813490107582157,-0.099090834916605405,-0.18662869836668761,-0.032627837858927922
"3-1",2,-0.04878830662490017,-0.030770889655276343,-0.11876335437837404,0,-0.14619043780358185,-0.11590934854894118,-0.25025321616780316,-0.0066322022436870881
"4-1",3,-0.020698407250250007,-0.0045863367388932061,-0.09130371358239045,0,-0.11206611646434195,-0.082218898753554551,-0.22931305133465069,0
"5-1",4,-0.017280436314435675,-0.0019166856563506418,-0.087627832879721729,0.061935449606944151,-0.086799111971487958,-0.055400633180819607,-0.2161179137164756,0.073887246485789509
"6-1",5,-0.0052411528473763165,0.0093883208437452043,-0.07779892836556962,0.075215233483755889,-0.066920539180629929,-0.035546392881300903,-0.2001086879824327,0.10052116359980795
"7-1",6,0.0046924474914738865,0.018644673609371439,-0.067966369394527104,0.084815709084004112,-0.049026648014572176,-0.017959589364209112,-0.17530203922048154,0.11113628388968687
"8-1",7,0.010815851292870342,0.02400417266769099,-0.06077158015641021,0.089471216427429445,-0.042572123802420557,-0.010683528145464012,-0.15065697477175419,0.098269974264515392
"9-1",8,0.017091910968240667,0.029569268603616208,-0.054173324276783286,0.095096839715398965,-0.038338902113962819,-0.005788399248962209,-0.12834025833102095,0.082735497066878466
"10-1",9,0.022699215491173874,0.034592529609344787,-0.047580997464273467,0.099495473077609559,-0.038333206644848537,-0.004362773476643678,-0.11635683649363995,0.071490070864078853
"11-1",10,0.027451034223190968,0.038813687661946657,-0.041737789334055267,0.10296258031992295,-0.038490495437037399,-0.0029642746013674986,-0.10715187327326534,0.062872809253223749
"12-1",11,0.031709610033902234,0.042496162864632148,-0.035854248742962468,0.1052871069115717,-0.038599175536344336,-0.00091517379033775458,-0.099123464352328744,0.055676817272261203
"13-1",12,0.03577292833772111,0.046021858011371604,-0.0303950377049617,0.10764948595456722,-0.037369597165773198,0.0020372337410098822,-0.093700377465545812,0.052747716820051131
"14-1",13,0.039564755477499977,0.049358633433827799,-0.024580953076550574,0.10924111515585812,-0.03528518783154224,0.0058075473818125752,-0.088751969191334629,0.052451559521019653
"15-1",14,0.042612913002079075,0.051852126728654503,-0.01972316808900211,0.11021280620584613,-0.03368031760602138,0.0094903543073235567,-0.085605326018214217,0.054211539864166394
"16-1",15,0.045292302159899329,0.053975880778184042,-0.015171160364047524,0.11063396743801109,-0.031453840695320576,0.013689955339341685,-0.083060795533424672,0.057024601819948999
"17-1",16,0.047707946866374057,0.055858501493493751,-0.011019214075187862,0.11099433244360979,-0.029316421987255096,0.017621092254645566,-0.08020197870958333,0.059460733964548845
"18-1",17,0.050403488435233339,0.058218482796745033,-0.0065282534402845011,0.11187854586237521,-0.027574704800575636,0.021471792699702022,-0.077299264596240161,0.061725751408651268
"19-1",18,0.052244308098620088,0.059685436541366169,-0.0028515241119401319,0.11164129121274162,-0.025936051350414512,0.0250802549028134,-0.075237761850288298,0.063742389090945831
"20-1",19,0.05385699360638211,0.060884085028139495,0.00058054036792849761,0.11116031314999023,-0.024990338086204909,0.028067339414016391,-0.073920872782731642,0.065247026465964725
"21-1",20,0.05553450368993916,0.062297065886158395,0.0037856852099511507,0.11128894892375941,-0.024811047191199056,0.031279887558098622,-0.072851415550015022,0.065928715617311728
