,Var1,Var2
"1-1",7.9000000000000004,7.9000000000000004
"2-1",8.1033333330000001,8.1033333330000001
"3-1",7.8266666669999996,7.8266666669999996
"4-1",6.9199999999999999,6.9199999999999999
"5-1",6.2066666670000004,6.2066666670000004
"6-1",6.2666666670000017,6.2666666670000017
"7-1",6.2199999999999998,6.2199999999999998
"8-1",6.6500000000000012,6.6500000000000012
"9-1",6.8433333330000004,6.8433333330000004
"10-1",6.9166666670000003,6.9166666670000003
"11-1",6.6633333330000006,6.6633333330000006
"12-1",7.1566666669999996,7.1566666669999996
"13-1",7.9833333329999991,7.9833333329999991
"14-1",8.4700000000000024,8.4700000000000024
"15-1",9.443333333,9.443333333
"16-1",9.7266666670000017,9.7266666670000017
"17-1",9.0833333330000023,9.0833333330000023
"18-1",8.6133333329999999,8.6133333329999999
"19-1",8.2500000000000018,8.2500000000000018
"20-1",8.2433333330000025,8.2433333330000025
"21-1",8.1600000000000001,8.1600000000000001
"22-1",7.7433333329999998,7.7433333329999998
"23-1",6.426666667000001,6.426666667000001
"24-1",5.8633333330000008,5.8633333330000008
"25-1",5.6433333330000002,5.6433333330000002
"26-1",4.8166666670000007,4.8166666670000007
"27-1",4.0233333330000001,4.0233333330000001
"28-1",3.7700000000000005,3.7700000000000005
"29-1",3.2566666670000006,3.2566666670000006
"30-1",3.0366666670000004,3.0366666670000004
"31-1",3.04,3.04
"32-1",3,3
"33-1",3.0600000000000001,3.0600000000000001
"34-1",2.9900000000000007,2.9900000000000007
"35-1",3.2133333330000005,3.2133333330000005
"36-1",3.9399999999999999,3.9399999999999999
"37-1",4.4866666670000006,4.4866666670000006
"38-1",5.1666666670000003,5.1666666670000003
"39-1",5.8099999999999996,5.8099999999999996
"40-1",6.0199999999999987,6.0199999999999987
"41-1",5.7966666670000002,5.7966666670000002
"42-1",5.7199999999999998,5.7199999999999998
"43-1",5.3633333330000008,5.3633333330000008
"44-1",5.2433333329999998,5.2433333329999998
"45-1",5.3066666670000009,5.3066666670000009
"46-1",5.2800000000000011,5.2800000000000011
"47-1",5.2766666670000006,5.2766666670000006
"48-1",5.5233333330000001,5.5233333330000001
"49-1",5.5333333330000016,5.5333333330000016
"50-1",5.5066666670000011,5.5066666670000011
"51-1",5.5199999999999996,5.5199999999999996
"52-1",5.5000000000000009,5.5000000000000009
"53-1",5.5333333330000016,5.5333333330000016
"54-1",4.8600000000000012,4.8600000000000012
"55-1",4.7333333330000018,4.7333333330000018
"56-1",4.7466666670000013,4.7466666670000013
"57-1",5.0933333330000004,5.0933333330000004
"58-1",5.3066666670000009,5.3066666670000009
"59-1",5.6766666670000001,5.6766666670000001
"60-1",6.2733333330000018,6.2733333330000018
"61-1",6.5199999999999996,6.5199999999999996
"62-1",6.4733333330000002,6.4733333330000002
"63-1",5.5933333330000004,5.5933333330000004
"64-1",4.3266666670000005,4.3266666670000005
"65-1",3.496666667,3.496666667
"66-1",2.1333333329999999,2.1333333329999999
"67-1",1.733333333,1.733333333
"68-1",1.75,1.75
"69-1",1.74,1.74
"70-1",1.443333333,1.443333333
"71-1",1.2500000000000002,1.2500000000000002
"72-1",1.246666667,1.246666667
"73-1",1.016666667,1.016666667
"74-1",0.99666666699999995,0.99666666699999995
"75-1",1.003333333,1.003333333
"76-1",1.01,1.01
"77-1",1.4333333330000002,1.4333333330000002
"78-1",1.95,1.95
"79-1",2.4700000000000006,2.4700000000000006
"80-1",2.943333333,2.943333333
"81-1",3.46,3.46
"82-1",3.98,3.98
"83-1",4.4566666670000012,4.4566666670000012
"84-1",4.9066666669999996,4.9066666669999996
"85-1",5.2466666670000004,5.2466666670000004
"86-1",5.2466666670000004,5.2466666670000004
"87-1",5.2566666670000002,5.2566666670000002
"88-1",5.25,5.25
