,INFL,FEDFUNDS,LONGRATE,LR7Y,LR5Y,LR3Y,LR2Y,LR1Y,DM2SL,DM2MSL,DMZMSL,DM1SL,BAA10Y,EBP,DMBSL,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP
1948-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-7.317157403,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1948-2,3.565866593,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-6.968942838,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1948-3,7.343618787,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.478557159,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1948-4,1.221095354,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.037304885,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1949-1,-2.139369403,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-8.465352644,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.140224531
1949-2,-4.003729145,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.392832655,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.493430543
1949-3,-1.861478579,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.097425116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.804531918
1949-4,0.031095736,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.143824744,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.854655769
1950-1,-0.59123275,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.632270237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.393389858
1950-2,1.336806125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.223417171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.281111568
