,YGAP_BOJ,YGAP_CO,YGR,SR,LR9Y,LR10Y,INFLALL,INFL,INFLCC,PGR,DI,dumm2002,dumm2006,dumm2009,DSR,IOR,INFLANN
"1960-1",#N/A,#N/A,5.0788473720000002,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,#N/A,0,#N/A
"1960-2",#N/A,#N/A,-0.62905638900000005,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1960-3",#N/A,#N/A,5.0586920429999997,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1960-4",#N/A,#N/A,4.9582135220000003,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1961-1",#N/A,#N/A,1.177435284,8.2796422219999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.306666667,0,#N/A
"1961-2",#N/A,#N/A,1.314597105,8.2163088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.063333333000000006,0,#N/A
"1961-3",#N/A,#N/A,3.530783971,8.5263088889999992,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.31,0,#N/A
"1961-4",#N/A,#N/A,5.7107407700000001,8.8863088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.35999999999999999,0,#N/A
"1962-1",#N/A,#N/A,-0.51540923699999996,8.9463088890000009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.059999999999999998,0,#N/A
"1962-2",#N/A,#N/A,0.60278785099999999,8.9463088890000009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1962-3",#N/A,#N/A,2.8319758020000001,8.9463088890000009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1962-4",#N/A,#N/A,3.1800332359999999,9.2563088889999996,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.31,0,#N/A
"1963-1",#N/A,#N/A,-0.50005221499999997,8.3396422220000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.91666666699999999,0,#N/A
"1963-2",#N/A,#N/A,2.1396234710000002,7.3663088889999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.97333333300000002,0,#N/A
"1963-3",#N/A,#N/A,4.5745641949999998,7.486308889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.12,0,#N/A
"1963-4",#N/A,#N/A,4.5547457439999999,7.7296422219999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.24333333300000001,0,#N/A
"1964-1",#N/A,#N/A,1.275479263,8.3996422220000007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.67000000000000004,0,#N/A
"1964-2",#N/A,#N/A,1.619731517,9.9229755560000008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,1.5233333339999999,0,#N/A
"1964-3",#N/A,#N/A,3.1663329500000001,11.38297556,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,1.4600000040000001,0,#N/A
"1964-4",#N/A,#N/A,2.335056625,11.13630889,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.24666667,0,#N/A
"1965-1",#N/A,#N/A,-1.0582915310000001,8.5863088889999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-2.5500000009999999,0,#N/A
"1965-2",#N/A,#N/A,0.46532223499999997,7.3663088889999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-1.22,0,#N/A
"1965-3",#N/A,#N/A,3.9008197920000001,6.6363088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.72999999999999998,0,#N/A
"1965-4",#N/A,#N/A,2.6415009860000001,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.60999999999999999,0,#N/A
"1966-1",#N/A,#N/A,0.76924725100000002,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1966-2",#N/A,#N/A,3.1088903779999999,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1966-3",#N/A,#N/A,4.0688914399999998,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1966-4",#N/A,#N/A,3.0915357860000001,6.0263088890000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1967-1",#N/A,#N/A,0.74238256199999997,6.1496422219999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.123333333,0,#N/A
"1967-2",#N/A,#N/A,1.8964365249999999,6.1496422219999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,#N/A
"1967-3",#N/A,#N/A,5.1211523559999996,6.7596422220000001,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.60999999999999999,0,#N/A
"1967-4",#N/A,#N/A,3.0268562530000001,7.2463088889999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.486666667,0,#N/A
"1968-1",#N/A,#N/A,0.48211439499999997,7.9763088890000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.72999999999999998,0,#N/A
"1968-2",#N/A,#N/A,2.6129791060000001,8.2163088890000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.23999999999999999,0,#N/A
"1968-3",#N/A,#N/A,3.8980530610000002,8.3396422220000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.123333333,0,#N/A
"1968-4",#N/A,#N/A,6.8320066270000002,7.7329755560000004,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.60666666599999997,0,#N/A
"1969-1",#N/A,#N/A,-0.99664574800000005,7.6096422219999997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.123333334,0,#N/A
"1969-2",#N/A,#N/A,2.1164487360000002,7.2463088889999998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,-0.36333333299999998,0,#N/A
"1969-3",#N/A,#N/A,4.0316900430000002,8.1696422220000002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.92333333299999998,0,#N/A
"1969-4",#N/A,#N/A,5.018229753,8.5196422219999999,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.34999999999999998,0,#N/A
"1970-1",#N/A,#N/A,1.1475799849999999,8.6029755560000005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0.083333333999999995,0,#N/A
"1970-2",#N/A,#N/A,0.430188246,8.4363088889999993,#N/A,#N/A,0.52345870800000005,0.69524251199999998,0.75975364599999995,#N/A,#N/A,0,0,0,-0.16666666699999999,0,2.7809700479999999
"1970-3",#N/A,#N/A,4.3217076690000003,8.6863088889999993,#N/A,#N/A,0.97402957499999998,1.6979019289999999,1.596166237,#N/A,#N/A,0,0,0,0.25,0,6.7916077159999997
"1970-4",#N/A,#N/A,0.747873966,8.156308889,#N/A,#N/A,2.8964124600000001,2.2677347170000002,2.417829749,#N/A,#N/A,0,0,0,-0.53000000000000003,0,9.0709388680000007
"1971-1",#N/A,#N/A,-0.96525892700000004,7.4829755560000004,#N/A,#N/A,1.4864023019999999,1.398922947,1.3114013360000001,#N/A,#N/A,0,0,0,-0.67333333299999998,0,5.5956917879999999
"1971-2",#N/A,#N/A,0.82733709700000002,6.7829755560000002,#N/A,#N/A,0.98543327199999997,1.6540318890000001,1.6161456949999999,#N/A,#N/A,0,0,0,-0.69999999999999996,0,6.6161275560000004
"1971-3",#N/A,#N/A,2.8360431670000001,6.4229755559999999,#N/A,#N/A,1.8723346080000001,1.7595747319999999,1.757156433,#N/A,#N/A,0,0,0,-0.35999999999999999,0,7.0382989279999997
"1971-4",#N/A,#N/A,1.9941704709999999,5.712975556,#N/A,#N/A,1.2472717760000001,1.004462188,1.157626966,#N/A,#N/A,0,0,0,-0.70999999999999996,0,4.0178487519999999
"1972-1",#N/A,#N/A,1.338208507,5.3096422219999999,#N/A,#N/A,0.34145841799999999,0.98834445599999998,0.98979986200000003,#N/A,#N/A,0,0,0,-0.40333333399999999,0,3.9533778239999999
"1972-2",#N/A,#N/A,1.094003847,5.002975556,#N/A,#N/A,1.529118593,1.1936577020000001,1.3419068439999999,#N/A,#N/A,0,0,0,-0.30666666599999998,0,4.7746308080000004
"1972-3",#N/A,#N/A,3.7667730389999998,4.6509755559999997,#N/A,#N/A,1.65902035,1.7555118919999999,1.744672223,#N/A,#N/A,0,0,0,-0.35199999999999998,0,7.0220475679999996
"1972-4",#N/A,#N/A,3.6160799579999998,4.6729755559999999,#N/A,#N/A,1.3264231870000001,1.7475304780000001,1.9201007640000001,#N/A,#N/A,0,0,0,0.021999999999999999,0,6.9901219120000002
"1973-1",#N/A,#N/A,1.423316483,5.3753088890000003,#N/A,#N/A,2.7035245730000002,2.4409549080000001,2.5058717640000001,#N/A,#N/A,0,0,0,0.702333333,0,9.7638196320000006
"1973-2",#N/A,#N/A,0.133860172,6.3156422220000001,#N/A,#N/A,4.2116276020000001,3.8745139790000001,3.8145452230000001,#N/A,#N/A,0,0,0,0.94033333299999999,0,15.498055916
"1973-3",#N/A,#N/A,1.8944798860000001,8.0679755560000004,#N/A,#N/A,3.859167341,3.573070215,3.9239201069999998,#N/A,#N/A,0,0,0,1.752333334,0,14.29228086
"1973-4",#N/A,#N/A,2.3224448930000001,9.6293088890000007,#N/A,#N/A,4.2905608600000003,4.6316286020000001,4.2812441679999997,#N/A,#N/A,0,0,0,1.5613333330000001,0,18.526514408000001
"1974-1",#N/A,#N/A,-5.2312352029999998,12.262975559999999,#N/A,#N/A,9.055610239,8.2534211959999997,8.1258847870000004,#N/A,#N/A,0,0,0,2.6336666709999998,0,33.013684783999999
"1974-2",#N/A,#N/A,-0.058897608999999997,12.35964222,#N/A,#N/A,3.8836793809999999,4.1739802700000004,3.8961290000000002,#N/A,8,0,0,0,0.096666660000000001,0,16.695921080000002
"1974-3",#N/A,#N/A,2.8982929209999999,13.22330889,#N/A,#N/A,4.544146971,4.1013688909999999,3.8623946459999998,#N/A,-15,0,0,0,0.86366666999999997,0,16.405475564
"1974-4",#N/A,#N/A,0.52527345400000003,13.055642219999999,8.2316666670000007,#N/A,4.2701065229999999,4.9862233370000002,5.029432924,#N/A,-30,0,0,0,-0.16766666999999999,0,19.944893348000001
"1975-1",#N/A,#N/A,-1.730669477,13.050975559999999,8.2550000000000008,#N/A,1.792885735,1.7564605040000001,1.7647751389999999,#N/A,-47,0,0,0,-0.0046666600000000004,0,7.0258420160000004
"1975-2",#N/A,#N/A,1.429336422,11.45297556,8.2780000000000005,#N/A,2.0708955969999998,2.0657850990000002,2.2060920099999999,#N/A,-47,0,0,0,-1.5980000000000001,0,8.2631403960000007
"1975-3",#N/A,#N/A,2.7544652869999999,10.639308890000001,8.3243333330000002,#N/A,1.858326406,2.0165720020000002,2.0322502660000001,#N/A,-42,0,0,0,-0.81366667000000004,0,8.0662880080000008
"1975-4",#N/A,#N/A,2.1362413949999999,8.2873088890000002,8.3896666670000002,#N/A,2.461588296,1.7842936279999999,1.904407084,#N/A,-35,0,0,0,-2.352000001,0,7.1371745119999996
"1976-1",#N/A,#N/A,-1.027517255,7.280642222,8.4686666670000008,#N/A,2.3202400889999999,2.27713221,2.3199640069999998,#N/A,-32,0,0,0,-1.006666667,0,9.10852884
"1976-2",#N/A,#N/A,-0.18744306199999999,6.9876422219999998,8.4960000000000004,#N/A,2.3995486750000001,2.403525293,2.4826632119999998,#N/A,-13,0,0,0,-0.29299999999999998,0,9.6141011719999998
"1976-3",#N/A,#N/A,3.0266213789999998,7.3146422219999998,8.5006666670000008,#N/A,2.104293271,2.2638867079999998,1.9607332580000001,#N/A,-5,0,0,0,0.32700000000000001,0,9.0555468319999992
"1976-4",#N/A,#N/A,1.193675877,7.0703088889999997,8.4760000000000009,#N/A,2.351226654,2.2766927730000002,2.2476704650000001,#N/A,-5,0,0,0,-0.24433333300000001,0,9.1067710920000007
"1977-1",#N/A,#N/A,0.28750462100000002,7.0836422219999999,8.491333333,#N/A,2.3447152729999998,1.9413595079999999,1.964218298,#N/A,-14,0,0,0,0.013333332999999999,0,7.7654380319999996
"1977-2",#N/A,#N/A,-0.075330193000000004,5.695642222,7.8003333330000002,#N/A,1.8691708810000001,1.9112774530000001,2.0313622520000001,#N/A,-14,0,0,0,-1.3879999999999999,0,7.6451098120000003
"1977-3",#N/A,#N/A,2.2907626360000002,5.6489755559999999,7.1266666670000003,#N/A,1.11196458,1.460991656,1.7188910930000001,#N/A,-18,0,0,0,-0.046666666000000002,0,5.8439666240000001
"1977-4",#N/A,#N/A,2.4444618299999998,5.0359755560000004,6.8499999999999996,#N/A,0.90509586600000003,1.2272671079999999,1.1430532170000001,#N/A,-19,0,0,0,-0.61299999999999999,0,4.9090684319999998
