,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"1-1",0.016087242836625864,0.018804434833450689,0.15452847010795798,0.30031123003667259,0.28445726673710553,0.53343646734030492,0.11865481190248696,0.13869602770064549,0.7005767806510379,0.94447973728837598,1.1206720997277695,1.5036619415036141,-0.15255789287863236,-0.090487620669789409,-0.63685460976793418,-0.24897723466883487,-0.72549708471099517,-0.091871887138027325,-0.15255789287863236,-0.090487620669789409,-0.63685460976793418,-0.24897723466883487,-0.7256437828911908,-0.091861478629130494
"2-1",0.016087242836625854,0.018804434833450682,0.15452847010795784,0.30031123003667221,0.28459140367846308,0.53343379636679644,0.11865481190248696,0.13869602770064549,0.7005767806510379,0.94447973728837564,1.1208330780293627,1.5037010160477065,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883498,-0.72550052608301829,-0.091936567447737955,-0.15255789287863236,-0.090487620669789409,-0.6368546097679344,-0.24897723466883498,-0.72556646043752071,-0.091866964801119305
"3-1",0.016087242836625864,0.018804434833450689,0.154528470107958,0.30031123003667221,0.28451349491258549,0.53337688180166898,0.11865481190248696,0.13869602770064549,0.70057678065103879,0.94447973728837664,1.1209215354763133,1.503600799529782,-0.15255789287863236,-0.090487620669789381,-0.6368546097679344,-0.24897723466883478,-0.72558506751523089,-0.091899865333827629,-0.15255789287863236,-0.090487620669789381,-0.6368546097679344,-0.24897723466883478,-0.72558506751523089,-0.091899865333827629
"4-1",0.016087242836625854,0.018804434833450682,0.15452847010795792,0.30031123003667265,0.28449259961632767,0.53344090965994195,0.11865481190248696,0.13869602770064549,0.70057678065103901,0.94447973728837598,1.1208896884720962,1.5036061323759331,-0.15255789287863236,-0.090487620669789409,-0.63685460976793462,-0.24897723466883478,-0.72562770886905703,-0.091873224170679849,-0.15255789287863236,-0.090487620669789409,-0.63685460976793462,-0.24897723466883478,-0.72562770886905703,-0.091873224170679849
"5-1",0.016087242836625826,0.01880443483345071,0.15451300077232447,0.30031232761482507,0.28450420415628375,0.5334263161337357,0.11865481190248696,0.13869602770064551,0.70046268334247619,0.94448783270475944,1.1208517278001842,1.5036591073590766,-0.15255789287863236,-0.09048762066978927,-0.63670791158773876,-0.24898764317773153,-0.72564293733873297,-0.091912188669379863,-0.15255789287863236,-0.09048762066978927,-0.6368546097679344,-0.24897723466883467,-0.72564409808118646,-0.091863803669043342
"6-1",0.016087242836625836,0.018804434833450689,0.15452847010795781,0.30031123003667282,0.28447273607273887,0.53343536976215211,0.11865481190248697,0.13869602770064549,0.70057678065103912,0.94447973728837664,1.1207861970363318,1.5036538460872315,-0.15255789287863236,-0.090487620669789395,-0.63685460976793462,-0.24897723466883465,-0.7256437828911908,-0.091861478629130702,-0.15255789287863236,-0.090487620669789395,-0.63685460976793462,-0.24897723466883465,-0.7256437828911908,-0.091861478629130702
"7-1",0.016087242836625833,0.018804434833450682,0.15452847010795789,0.30031123003667287,0.28447273607273876,0.53343536976215156,0.11865481190248697,0.13869602770064549,0.70057678065103923,0.9444797372883762,1.120786197036332,1.5036538460872317,-0.15255789287863236,-0.090487620669789298,-0.6368546097679344,-0.24897723466883467,-0.72564378289119125,-0.091861478629130702,-0.15255789287863236,-0.090487620669789298,-0.6368546097679344,-0.24897723466883467,-0.72564378289119125,-0.091861478629130702
"8-1",0.016087242836625822,0.018804434833450703,0.15452847010795798,0.30031123003667287,0.28447273607273887,0.53343536976215233,0.11865481190248697,0.13869602770064549,0.7005767806510389,0.9444797372883762,1.1207861970363315,1.5036538460872306,-0.15255789287863236,-0.090487620669789326,-0.6368546097679344,-0.24897723466883454,-0.72564378289119147,-0.091861478629130966,-0.15255789287863236,-0.090487620669789326,-0.6368546097679344,-0.24897723466883454,-0.72564378289119147,-0.091861478629130966
"9-1",0.016087242836625826,0.018804434833450689,0.154528470107958,0.30031123003667293,0.28447273607273849,0.53343536976215211,0.11865481190248697,0.13869602770064549,0.70057678065103923,0.94447973728837742,1.1207861970363315,1.5036538460872328,-0.15255789287863236,-0.090487620669789381,-0.6368546097679344,-0.24897723466883467,-0.72564378289119102,-0.091861478629130938,-0.15255789287863236,-0.090487620669789381,-0.6368546097679344,-0.24897723466883467,-0.72564378289119102,-0.091861478629130938
"10-1",0.016087242836625847,0.018804434833450692,0.15452847010795781,0.30031123003667248,0.28447273607273882,0.53343536976215211,0.11865481190248696,0.13869602770064549,0.70057678065103823,0.94447973728837642,1.1207861970363302,1.503653846087232,-0.15255789287863236,-0.090487620669789368,-0.6368546097679344,-0.2489772346688347,-0.72564378289119125,-0.091861478629130952,-0.15255789287863236,-0.090487620669789368,-0.6368546097679344,-0.2489772346688347,-0.72564378289119125,-0.091861478629130952
