,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
"1-1",0.12680286912506067,0.13430174752464627,0.3438338298725756,0.38084709121757054,0.62979420695451094,0.68724660674726179,0.032314808917632137,0.034225844718722975,0.32103291475301121,0.32229850368492419,0.54183513898511881,0.55998718742327613,-0.14879310400260426,-0.12993206661643061,-0.37403697717366802,-0.28395696999858977,-0.34680561411691346,-0.20349306056355335,-0.14879310400260426,-0.12993206661643061,-0.37403697717366802,-0.28395696999858977,-0.34650729835271404,-0.20250421442886846
"2-1",0.12680286912506067,0.13430174752464627,0.3438338298725756,0.38084709121757021,0.62979221974351596,0.68728443367720948,0.032314808917632137,0.034225844718722975,0.32103291475301104,0.32229850368492435,0.54183173264365059,0.55998541990653961,-0.14879310400260426,-0.12993206661643053,-0.37403697717366802,-0.28395696999858977,-0.3468027457642881,-0.20363570278849957,-0.14879310400260426,-0.12993206661643053,-0.37403697717366802,-0.28395696999858977,-0.34652016323572521,-0.20252404897629983
"3-1",0.12680286912506067,0.13430174752464627,0.34382806909822722,0.38084645214541979,0.62990264891307746,0.68730649395967147,0.032314808917632117,0.034225844718722982,0.32103144666065986,0.32229797390344006,0.54184714431204217,0.55997126718044044,-0.14879310400260429,-0.12993206661643059,-0.37400241048978444,-0.28395313533962419,-0.3470137914075534,-0.20406430311353574,-0.14879310400260429,-0.12993206661643059,-0.37403697717366807,-0.2839569699985901,-0.34659274694984804,-0.20249292991357776
"4-1",0.12680286912506067,0.13430174752464627,0.34382461956705601,0.3808456878010259,0.6299159722071217,0.68742099321225836,0.032314808917632123,0.034225844718722982,0.32103056757218651,0.32229758657052199,0.54185496692180002,0.55995428095667732,-0.14879310400260429,-0.12993206661643053,-0.37398171208253395,-0.28394854900288496,-0.34726289976306302,-0.20473445709908888,-0.14879310400260429,-0.12993206661643053,-0.37403697717366785,-0.28395696999858977,-0.34662998393039479,-0.20250600429931634
"5-1",0.12680286912506067,0.1343017475246463,0.34380894912992044,0.38084380904714077,0.62999048508631716,0.68741231227676991,0.03231480891763213,0.034225844718722975,0.3210291050819517,0.322297234863756,0.54188523440352954,0.55995943930576697,-0.14879310400260426,-0.12993206661643047,-0.37389529537282484,-0.28393896235547017,-0.34776824083330371,-0.20539697116883227,-0.14879310400260426,-0.12993206661643047,-0.374034071546272,-0.28395632617196526,-0.3466302270288002,-0.20240580957687546
"6-1",0.12680286912506067,0.1343017475246463,0.34380805197853165,0.38084380904714116,0.63006341249275699,0.68740613395794381,0.032314808917632144,0.034225844718722975,0.32102887644930389,0.32229723486375605,0.54188083225656625,0.55993430675176037,-0.14879310400260426,-0.12993206661643047,-0.37388991214713796,-0.28393896235547011,-0.34787819998430564,-0.20537204471555681,-0.14879310400260426,-0.12993206661643047,-0.37403407154627227,-0.2839563261719652,-0.34669878416127009,-0.20240815033438103
"7-1",0.12680286912506067,0.1343017475246463,0.34380606874274633,0.3808434895110655,0.62989404832771201,0.68734012249852172,0.032314808917632117,0.034225844718722982,0.32102837103577581,0.32229696997301388,0.54187899833151332,0.55994148222480644,-0.14879310400260426,-0.12993206661643047,-0.37387801203088344,-0.28393704502598727,-0.3477606118848357,-0.20513990304302188,-0.14879310400260426,-0.12993206661643047,-0.37403407154627238,-0.28395632617196531,-0.34660340075900048,-0.20238009148989289
"8-1",0.1268028691250607,0.13430174752464627,0.34379742758122417,0.38084253090283965,0.62990584260365323,0.68727812832072643,0.032314808917632137,0.034225844718722975,0.321026168897249,0.32229617530078813,0.54189042157323719,0.55997692838594515,-0.14879310400260426,-0.12993206661643047,-0.37382616200505764,-0.28393129303753833,-0.34760691649464942,-0.20472859729721299,-0.14879310400260426,-0.12993206661643047,-0.37403407154627211,-0.28395632617196531,-0.34653147828949682,-0.20234463867888974
"9-1",0.1268028691250607,0.13430174752464627,0.3438204706786171,0.38084508719144217,0.62988762138826981,0.68731649363101288,0.032314808917632123,0.034225844718722982,0.32103204126665413,0.32229829442672409,0.54185049874907198,0.55997269918500525,-0.14879310400260426,-0.12993206661643047,-0.37396442874059227,-0.28394663167340201,-0.34732502266285314,-0.20416996510415178,-0.14879310400260426,-0.12993206661643047,-0.37403407154627211,-0.2839563261719652,-0.34655506813376791,-0.20247287864557306
"10-1",0.12680286912506067,0.13430174752464627,0.34382392020978819,0.38084585153583572,0.62983277368366042,0.68728022828831214,0.032314808917632144,0.034225844718722975,0.32103292035512748,0.32229868175964238,0.54183782557434479,0.5599752568964339,-0.14879310400260426,-0.12993206661643047,-0.3739851271478426,-0.283951218010141,-0.3471584172156636,-0.20382909353578965,-0.14879310400260426,-0.12993206661643047,-0.37403407154627211,-0.28395632617196526,-0.34652745507532862,-0.20248692423744288
