,GDPDEF,INFL,UNRATE,UNRATENSA,FEDFUNDS,DFEDFUNDS,LONGRATE,LR7Y,LR5Y,LR3Y,LR2Y,LR1Y,DM2SL,DM2MSL,DMZMSL,DM1SL,BAA10Y,EBP,DMBSL,EXCSR,DSHO,DDIV_M1,DDIV_M2,DDIV_M2M,DDIV_MZM,DDIV_M4,YGAP,SPD,DINFL,DLONGRATE,rinfl,rygap,rr,rr1,PGR
1948-1,12.731,#N/A,3.733,4.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-7.317157403,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1948-2,12.845,3.565866593,3.667,3.767,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-6.968942838,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1948-3,13.083,7.343618787,3.767,3.633,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.478557159,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.744,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1948-4,13.123,1.221095354,3.833,3.267,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.037304885,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-6.119,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1949-1,13.053,-2.139369403,4.667,5.467,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-8.465352644,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.140224531,#N/A,-3.358,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1949-2,12.923,-4.003729145,5.867,5.833,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.392832655,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.493430543,#N/A,-1.894,#N/A,#N/A,#N/A,#N/A,#N/A,5.21255
1949-3,12.863,-1.861478579,6.7,6.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.097425116,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.804531918,#N/A,2.203,#N/A,#N/A,#N/A,#N/A,#N/A,5.3738
1949-4,12.864,0.031095736,6.967,5.933,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.143824744,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.854655769,#N/A,1.86,#N/A,#N/A,#N/A,#N/A,#N/A,5.06837
1950-1,12.845,-0.59123275,6.4,7.533,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.632270237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.393389858,#N/A,-0.653,#N/A,#N/A,#N/A,#N/A,#N/A,5.30844
1950-2,12.888,1.336806125,5.567,5.633,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.223417171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.281111568,#N/A,1.989,#N/A,#N/A,#N/A,#N/A,#N/A,5.28129
